delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000.0,exp,28,1,337,5,2116.6605439000414,,2116.6500223000185,2116.6605439000414,2117.657834600017,2117.657834600017,2117.674782099959,2118.6059531999636,space,0.943214499973692,None,2118.606304099958,2119.3199894666946,2119.6361426000367,2119.6214461000054,2119.6214683999424,2119.6361426000367,2119.6361426000367,2119.6361426000367,2128.046834299981,600,1,[8.42403400002513],[8.424041099962778],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,400.0,unexp,28,2,338,1,2128.0629584999406,,2128.047834600031,2128.0629584999406,2129.0603409000323,2129.0603409000323,2129.076475699956,2129.327541100036,space,0.26594789989758283,None,2129.328132800001,2129.741620066696,2130.058206399961,2130.042966899986,2130.042988400033,2130.058206399961,2130.058206399961,2130.058206399961,2131.487896299979,700,1,[1.4436027999036014],[1.4436088999500498],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,28,3,339,7,2131.503245299973,,2131.4891176999663,2131.503245299973,2132.5008638,2132.5008638,2132.5170837999904,2134.7796242000186,space,2.2705098999431357,None,2134.7802002999815,2135.1932697666384,2135.5093784999917,2135.493566399964,2135.4935879000113,2135.5093784999917,2135.5093784999917,2135.5093784999917,2137.525714300049,600,1,[2.0305791000137106],[2.030587200075388],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,28,4,340,8,2137.5368821999873,,2137.5268580000266,2137.5368821999873,2138.534593600023,2138.534593600023,2138.550983300025,2139.964620200044,space,1.4168076999485493,None,2139.964967100008,2140.67914326664,2140.9939665999846,2140.976058899949,2140.976081700006,2140.9939665999846,2140.9939665999846,2140.9939665999846,2144.737658900034,560,1,[3.7603323000948876],[3.760339600034058],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,28,5,341,10,2144.7502551000216,,2144.7391887000413,2144.7502551000216,2145.7476146000554,2145.7476146000554,2145.7642574000056,2145.8321168999537,space,0.06808140000794083,None,2145.832470399968,2146.246916666631,2146.5626972000464,2146.547516700055,2146.5475478999433,2146.5626972000464,2146.5626972000464,2146.5626972000464,2150.888441799965,300,1,[4.339393400005065],[4.339400899945758],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,28,6,342,6,2150.9002757999697,,2150.889551500033,2150.9002757999697,2151.898213999986,2151.898213999986,2151.915203600016,2158.5640885000466,space,6.658078400068916,None,2158.5647697999957,2158.678972066617,2158.994812800025,2158.9815858000075,2158.9816214000457,2158.994812800025,2158.994812800025,2158.994812800025,2161.0444503999897,300,1,[2.060866800020449],[2.0608751999679953],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,28,7,343,3,2161.0557731999434,,2161.0452361000353,2161.0557731999434,2162.0528555999626,2162.0528555999626,2162.0698541999445,2162.0708986999816,space,0.0030578000005334616,None,2162.0712348999805,2162.1862667666323,2162.5189710000413,2162.5027862999705,2162.502802999981,2162.5189710000413,2162.5189710000413,2162.5189710000413,2164.634460900037,400,1,[2.130238200072199],[2.130252700066194],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,28,8,344,9,2164.646324200032,,2164.635227400053,2164.646324200032,2165.643185599998,2165.643185599998,2165.6604256999562,2166.1436288999976,space,0.48566040000878274,None,2166.1439778999775,2166.2587462667184,2166.573755599966,2166.5593376999605,2166.5593715999858,2166.573755599966,2166.573755599966,2166.573755599966,2168.1044969000504,300,1,[1.5436115999473259],[1.543623000034131],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,28,9,345,4,2168.1204644999816,,2168.1050899000256,2168.1204644999816,2169.11707019998,2169.11707019998,2169.133808499959,2171.046228400024,space,1.920849599991925,None,2171.046917400032,2171.4613805667072,2171.7762884999975,2171.7622683999944,2171.7623065000516,2171.7762884999975,2171.7762884999975,2171.7762884999975,2188.8349852000247,345,1,[17.071034999913536],[17.071042599971406],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,28,10,346,11,2188.8466904999805,,2188.835588099959,2188.8466904999805,2189.843714800023,2189.843714800023,2189.860451799992,2191.0084131999756,space,1.157852999982424,None,2191.008775599941,2191.7221510666463,2192.038171800028,2192.022842199949,2192.022862999991,2192.038171800028,2192.038171800028,2192.038171800028,2197.3951476000366,800,1,[5.371086099999957],[5.37109359994065],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
