stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0.5,8.0,28.65850420005154,,28.642525400035083,28.65850420005154,29.15741420001723,29.15741420001723,29.173955800011754,29.472357399994507,29.822867100010626,left,-8.0,1,1,0.6615863000042737,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
21,0.5,8.0,29.838308200007305,,29.82294850004837,29.838308200007305,30.337302300031297,30.337302300031297,30.353723700041883,30.635954500059597,31.00265669997316,left,-8.0,1,1,0.6501544000348076,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
22,0.5,7.5,31.018440400017425,,31.00276699999813,31.018440400017425,31.517643500003032,31.517643500003032,31.534765499993227,31.83241590007674,32.13262449996546,right,7.5,1,1,0.6032690000720322,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
23,0.5,7.5,32.14822069997899,,32.13270439999178,32.14822069997899,32.64731350005604,32.64731350005604,32.64731350005604,32.946246700012125,33.39573700004257,left,-7.5,1,1,0.7431555000366643,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
24,0.5,7.5,33.41170619998593,,33.3958417000249,33.41170619998593,33.91072859999258,33.91072859999258,33.927711299969815,34.209214900038205,34.60984869999811,left,-7.5,1,1,0.6975083000725135,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
25,0.5,7.0,34.624494199990295,,34.60993410006631,34.624494199990295,35.123460500035435,35.123460500035435,35.123460500035435,35.423616599990055,38.84839170007035,left,-7.0,1,1,3.7090810000663623,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
26,0.5,7.0,38.86457620002329,,38.84848000004422,38.86457620002329,39.36203389998991,39.36203389998991,39.37868039996829,39.66126780002378,40.044480800046586,right,7.0,1,1,0.6708496999926865,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
27,0.5,7.0,40.059904300025664,,40.04456339997705,40.059904300025664,40.55914270004723,40.55914270004723,40.55914270004723,40.85796729999129,41.15858180006035,right,7.0,1,1,0.5908287999918684,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
28,0.5,6.5,41.173271500039846,,41.158664599992335,41.173271500039846,41.67320209997706,41.67320209997706,41.67320209997706,41.98913999996148,42.189138200017624,right,6.5,1,1,0.5128596000140533,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
29,0.5,6.5,42.20540950004943,,42.189219500054605,42.20540950004943,42.70343750005122,42.70343750005122,42.71949529997073,43.0026936000213,43.285700600012206,right,6.5,1,1,0.5764619000256062,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
